TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Utah,08/31/2023,Florida,W 24-11,270,5.09,13,,3,28:04,53,270,5.09,7,5,1,5,5.00,37,37.00,
Utah,09/09/2023,@ Baylor,W 20-13,377,5.16,17,1,8,36:17,73,377,5.16,11,9,,7,7.00,59,59.00,
Utah,09/16/2023,Weber St.,W 31-7,424,5.81,15,4,6,40:05,73,424,5.81,15,7,1,5,5.00,35,35.00,
Utah,09/23/2023,UCLA,W 14-7,219,3.37,17,1,6,34:28,65,219,3.37,6,7,,4,4.00,30,30.00,
Utah,09/29/2023,@ Oregon St.,L 7-21,198,3.14,13,4,2,28:54,63,198,3.14,5,5,4,4,4.00,20,20.00,
Utah,10/14/2023,California,W 34-14,445,5.93,17,2,10,37:53,75,445,5.93,15,5,1,3,3.00,38,38.00,
Utah,10/21/2023,@ Southern California,W 34-32,482,6.89,12,3,3,34:42,70,482,6.89,12,8,3,8,8.00,50,50.00,
Utah,10/28/2023,Oregon,L 6-35,241,3.65,15,3,5,31:57,66,241,3.65,5,7,1,3,3.00,25,25.00,
Utah,11/04/2023,Arizona St.,W 55-3,513,6.66,17,2,10,36:33,77,513,6.66,13,11,2,6,6.00,50,50.00,
Utah,11/11/2023,@ Washington,L 28-35,382,6.70,11,1,5,25:02,57,382,6.70,8,6,3,8,8.00,97,97.00,
Utah,11/18/2023,@ Arizona,L 18-42,438,4.87,21,4,11,35:34,90,438,4.87,11,15,,7,7.00,55,55.00,
Utah,11/25/2023,Colorado,W 23-17,329,5.22,13,2,7,39:04,63,329,5.22,15,5,2,2,2.00,15,15.00,
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,211,3.25,15,2,5,34:21,65,211,3.25,9,3,1,3,3.00,30,30.00,
