TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
West Virginia,09/02/2023,@ Penn St.,L 15-38,,162,,,4,20,332,,58
West Virginia,09/09/2023,Duquesne,W 56-17,29,315,2,,37,,685,,72
West Virginia,09/16/2023,Pittsburgh,W 17-6,66,60,3,,15,18,310,,63
West Virginia,09/23/2023,Texas Tech,W 20-13,,99,,,45,31,332,,60
West Virginia,09/30/2023,@ TCU,W 24-21,,142,,,32,18,393,,56
West Virginia,10/12/2023,@ Houston,L 39-41,,391,,,3,92,641,,71
West Virginia,10/21/2023,Oklahoma St.,L 34-48,,249,1,,2,19,496,,62
West Virginia,10/28/2023,@ UCF,W 41-28,51,164,3,,,19,520,,69
West Virginia,11/04/2023,BYU,W 37-7,,231,,,,,567,,64
West Virginia,11/11/2023,@ Oklahoma,L 20-59,,154,,,5,55,390,,55
West Virginia,11/18/2023,Cincinnati,W 42-21,,210,,,,21,655,,61
West Virginia,11/25/2023,@ Baylor,W 34-31,,269,,,,67,586,,58
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,24,228,2,,82,,498,,46
