TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
West Virginia,09/02/2023,@ Penn St.,L 15-38,27,16,,162,,109.66,16.0,10.125,0.593,162.0,40,146,170,24,3.65,2,146.0,17,16,162,16.0,10.13,,162.0,37,308,4.6,14,6,4,31:16,67,308,4.6,10,7,,5,5.0,55,55.0,,,162,,,4.0,20.0,332,,58,2,1,1,,,1.0,1.0,1.0,,,,,15,1.0,,6.0,1.0,40,22,2,4,11,62,,2,,,2.0,,,,,,,,,2.0,4,170,42.5,,50,170,1.0,,4.0,2,130,1.0,1.0,,20.0,86,,2,2,15,2,,,,,,,,,,,,,,,
West Virginia,09/09/2023,Duquesne,W 56-17,32,17,,315,4.0,177.06,17.0,18.529,0.531,315.0,49,304,315,11,6.2,4,304.0,39,17,315,17.0,18.53,4.0,315.0,70,619,7.64,13,5,6,31:39,81,619,7.64,17,12,1.0,4,4.0,30,30.0,,29.0,315,2.0,,37.0,,685,,72,8,8,8,,,,,,,,,,56,1.0,4,19.0,3.0,22,34,4,20/,39,56,29.0,3,2.0,,5.0,,,,,,,,,1.0,2,78,39.0,,52,78,4.0,,37.0,9,573,5.0,,,,448,,5,6,35,4,1.0,,,1/,,,,,,2.0,,,2.0,2.0,
West Virginia,09/16/2023,Pittsburgh,W 17-6,11,6,,60,1.0,130.36,6.0,10.0,0.545,60.0,51,151,181,30,2.96,1,151.0,17,6,60,6.0,10.0,1.0,60.0,15,211,3.4,12,3,4,33:13,62,211,3.4,9,3,2.0,4,4.0,52,52.0,,66.0,60,3.0,,15.0,18.0,310,,63,2,2,2,,,,,,,,1.0,,17,1.0,,9.0,1.0,32,34,3,4,16,66,66.0,4,3.0,,7.0,,,,,1.0,1.0,,42.0,2.0,4,133,33.3,,50,131,2.0,,15.0,4,258,1.0,1.0,,18.0,164,,2,4,14,1,1.0,,,1/,,1.0,,,,3.0,,,1.0,3.0,
West Virginia,09/23/2023,Texas Tech,W 20-13,22,13,2.0,99,1.0,93.71,13.0,7.615,0.591,99.0,42,157,168,11,3.74,1,157.0,19,13,99,13.0,7.62,1.0,99.0,21,256,4.0,13,1,3,34:50,64,256,4.0,7,4,5.0,3,3.0,20,20.0,,,99,,,45.0,31.0,332,,60,2,2,2,,,,,,,,2.0,,20,2.0,,20.0,2.0,42,28,4,,24,70,,11/,,,11.0,1.0,,,,2.0,2.0,,46.0,2.0,6,246,41.0,,50,246,3.0,,45.0,5,308,,2.0,,31.0,200,,3,3,17,1,1.0,1.0,1.0,,,,,,,,,,,,2.0
West Virginia,09/30/2023,@ TCU,W 24-21,21,10,,142,,104.42,10.0,14.2,0.476,142.0,43,201,208,7,4.67,3,201.0,35,10,142,10.0,14.2,,142.0,30,343,5.36,13,3,4,33:27,64,343,5.36,10,7,4.0,2,2.0,10,10.0,,,142,,,32.0,18.0,393,,56,3,3,3,,,,,,,,1.0,,24,3.0,4,23.0,5.0,45,28,7,4,35,73,,6,,,6.0,,,,,1.0,2.0,,49.0,3.0,5,230,46.0,,58,229,2.0,,32.0,5,324,3.0,1.0,,18.0,206,,2,3,14,2,,,,,,1.0,,,,,2/,,,,
West Virginia,10/12/2023,@ Houston,L 39-41,38,20,1.0,391,2.0,151.17,20.0,19.55,0.526,391.0,44,155,175,20,3.52,3,155.0,17,20,391,20.0,19.55,2.0,391.0,50,546,6.66,19,1,13/,36:46,82,546,6.66,11,14,1.0,9,9.0,84,84.0,,,391,,,3.0,92.0,641,,71,5,4,4,,,1.0,1.0,1.0,,,1.0,,39,1.0,2,13.0,2.0,32,22,5,2,21,54,,1,,,1.0,,,,,1.0,1.0,,27.0,,4,158,39.5,,47,140,2.0,,3.0,7,422,2.0,5.0,,92.0,188,,4,4,25,3,,1.0,1.0,,,,,,,,,,,,1.0
West Virginia,10/21/2023,Oklahoma St.,L 34-48,30,15,1.0,249,2.0,135.05,15.0,16.6,0.5,249.0,44,226,243,17,5.14,2,226.0,30,15,249,15.0,16.6,2.0,249.0,45,475,6.42,15,2,8,32:36,74,475,6.42,13,9,2.0,5,5.0,55,55.0,,,249,1.0,,2.0,19.0,496,,62,4,4,4,,,,,,,,2.0,,34,,,,,40,24,5,2,18,64,,6,1.0,,7.0,,,,,2.0,2.0,,34.0,,3,136,45.3,,53,138,1.0,,2.0,6,368,2.0,1.0,,19.0,250,,4,5,20,2,,2.0,2.0,,,1.0,,,1.0,1.0,1,1.0,2.0,1.0,1.0
West Virginia,10/28/2023,@ UCF,W 41-28,24,15,,164,,119.9,15.0,10.933,0.625,164.0,50,286,302,16,5.72,5,286.0,32,15,164,15.0,10.93,,164.0,28,450,6.08,15,2,7,36:06,74,450,6.08,16,7,2.0,4,4.0,35,35.0,,51.0,164,3.0,,,19.0,520,,69,5,5,5,,,,,,,,2.0,,41,1.0,,9.0,1.0,45,14,2,2,11,59,51.0,4,3.0,,7.0,1.0,,,,2.0,2.0,,41.0,2.0,2,84,42.0,,43,84,,,,8,517,6.0,1.0,,19.0,349,,7,8,41,5,,2.0,2.0,,,,,1/,1.0,3.0,,1.0,1.0,3.0,
West Virginia,11/04/2023,BYU,W 37-7,28,16,,231,2.0,150.01,16.0,14.438,0.571,231.0,48,336,341,5,7.0,2,336.0,32,16,231,16.0,14.44,2.0,231.0,43,567,7.46,10,4,3,35:27,76,567,7.46,15,10,5.0,10,10.0,71,71.0,,,231,,,,,567,,64,4,4,4,,,,,,,,3.0,,37,2.0,2,22.0,3.0,36,20,6,4,40,56,,8,,,8.0,1.0,,,,3.0,3.0,,46.0,1.0,1,37,37.0,,37,37,,,,7,419,,,,,315,,6,6,30,2,1.0,3.0,3.0,,,,,,1.0,,,1.0,,,
West Virginia,11/11/2023,@ Oklahoma,L 20-59,31,10,2.0,154,2.0,82.37,10.0,15.4,0.323,154.0,41,176,191,15,4.29,1,176.0,15,10,154,10.0,15.4,2.0,154.0,49,330,4.58,16,4,4,30:32,72,330,4.58,10,5,2.0,2,2.0,20,20.0,,,154,,,5.0,55.0,390,,55,3,2,2,,,,,1.0,,,,,20,2.0,,14.0,2.0,35,44,2,6,19,79,,2,,,2.0,,,,,,1.0,,,3.0,6,248,41.3,,47,265,2.0,,5.0,4,251,1.0,2.0,,55.0,179,,3,4,20,1,2.0,,,,,1.0,,,1.0,,,1.0,,,2.0
