TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
West Virginia,09/02/2023,@ Penn St.,L 15-38,2,130,1,1,,20,86,
West Virginia,09/09/2023,Duquesne,W 56-17,9,573,5,,,,448,
West Virginia,09/16/2023,Pittsburgh,W 17-6,4,258,1,1,,18,164,
West Virginia,09/23/2023,Texas Tech,W 20-13,5,308,,2,,31,200,
West Virginia,09/30/2023,@ TCU,W 24-21,5,324,3,1,,18,206,
West Virginia,10/12/2023,@ Houston,L 39-41,7,422,2,5,,92,188,
West Virginia,10/21/2023,Oklahoma St.,L 34-48,6,368,2,1,,19,250,
West Virginia,10/28/2023,@ UCF,W 41-28,8,517,6,1,,19,349,
West Virginia,11/04/2023,BYU,W 37-7,7,419,,,,,315,
West Virginia,11/11/2023,@ Oklahoma,L 20-59,4,251,1,2,,55,179,
West Virginia,11/18/2023,Cincinnati,W 42-21,7,427,,1,,21,413,
West Virginia,11/25/2023,@ Baylor,W 34-31,7,386,,4,,67,107,
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,6,368,1,,,,238,
