TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
West Virginia,09/02/2023,@ Penn St.,L 15-38,27,16,,162,,109.66,16.00,10.125,0.593,162.00
West Virginia,09/09/2023,Duquesne,W 56-17,32,17,,315,4,177.06,17.00,18.529,0.531,315.00
West Virginia,09/16/2023,Pittsburgh,W 17-6,11,6,,60,1,130.36,6.00,10.000,0.545,60.00
West Virginia,09/23/2023,Texas Tech,W 20-13,22,13,2,99,1,93.71,13.00,7.615,0.591,99.00
West Virginia,09/30/2023,@ TCU,W 24-21,21,10,,142,,104.42,10.00,14.200,0.476,142.00
West Virginia,10/12/2023,@ Houston,L 39-41,38,20,1,391,2,151.17,20.00,19.550,0.526,391.00
West Virginia,10/21/2023,Oklahoma St.,L 34-48,30,15,1,249,2,135.05,15.00,16.600,0.500,249.00
West Virginia,10/28/2023,@ UCF,W 41-28,24,15,,164,,119.90,15.00,10.933,0.625,164.00
West Virginia,11/04/2023,BYU,W 37-7,28,16,,231,2,150.01,16.00,14.438,0.571,231.00
West Virginia,11/11/2023,@ Oklahoma,L 20-59,31,10,2,154,2,82.37,10.00,15.400,0.323,154.00
West Virginia,11/18/2023,Cincinnati,W 42-21,19,12,1,210,1,162.84,12.00,17.500,0.632,210.00
West Virginia,11/25/2023,@ Baylor,W 34-31,25,16,,269,2,180.78,16.00,16.813,0.640,269.00
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,23,12,,228,1,149.79,12.00,19.000,0.522,228.00
