TeamNM,Date,Opponent,Result,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds
West Virginia,09/02/2023,@ Penn St.,L 15-38,1,,4
West Virginia,09/09/2023,Duquesne,W 56-17,4,,37
West Virginia,09/16/2023,Pittsburgh,W 17-6,2,,15
West Virginia,09/23/2023,Texas Tech,W 20-13,3,,45
West Virginia,09/30/2023,@ TCU,W 24-21,2,,32
West Virginia,10/12/2023,@ Houston,L 39-41,2,,3
West Virginia,10/21/2023,Oklahoma St.,L 34-48,1,,2
West Virginia,10/28/2023,@ UCF,W 41-28,,,
West Virginia,11/04/2023,BYU,W 37-7,,,
West Virginia,11/11/2023,@ Oklahoma,L 20-59,2,,5
West Virginia,11/18/2023,Cincinnati,W 42-21,2,,
West Virginia,11/25/2023,@ Baylor,W 34-31,1,,
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,2,1/,82
