TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
West Virginia,09/02/2023,@ Penn St.,L 15-38,2,4,170,42.5,,50,170
West Virginia,09/09/2023,Duquesne,W 56-17,1,2,78,39.0,,52,78
West Virginia,09/16/2023,Pittsburgh,W 17-6,2,4,133,33.3,,50,131
West Virginia,09/23/2023,Texas Tech,W 20-13,2,6,246,41.0,,50,246
West Virginia,09/30/2023,@ TCU,W 24-21,3,5,230,46.0,,58,229
West Virginia,10/12/2023,@ Houston,L 39-41,,4,158,39.5,,47,140
West Virginia,10/21/2023,Oklahoma St.,L 34-48,,3,136,45.3,,53,138
West Virginia,10/28/2023,@ UCF,W 41-28,2,2,84,42.0,,43,84
West Virginia,11/04/2023,BYU,W 37-7,1,1,37,37.0,,37,37
West Virginia,11/11/2023,@ Oklahoma,L 20-59,3,6,248,41.3,,47,265
West Virginia,11/18/2023,Cincinnati,W 42-21,,1,56,56.0,1,56,36
West Virginia,11/25/2023,@ Baylor,W 34-31,2,4,158,39.5,,42,158
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,1,3,145,48.3,1,61,122
