TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
West Virginia,09/02/2023,@ Penn St.,L 15-38,16,162,16.00,10.13,,162.00,37
West Virginia,09/09/2023,Duquesne,W 56-17,17,315,17.00,18.53,4,315.00,70
West Virginia,09/16/2023,Pittsburgh,W 17-6,6,60,6.00,10.00,1,60.00,15
West Virginia,09/23/2023,Texas Tech,W 20-13,13,99,13.00,7.62,1,99.00,21
West Virginia,09/30/2023,@ TCU,W 24-21,10,142,10.00,14.20,,142.00,30
West Virginia,10/12/2023,@ Houston,L 39-41,20,391,20.00,19.55,2,391.00,50
West Virginia,10/21/2023,Oklahoma St.,L 34-48,15,249,15.00,16.60,2,249.00,45
West Virginia,10/28/2023,@ UCF,W 41-28,15,164,15.00,10.93,,164.00,28
West Virginia,11/04/2023,BYU,W 37-7,16,231,16.00,14.44,2,231.00,43
West Virginia,11/11/2023,@ Oklahoma,L 20-59,10,154,10.00,15.40,2,154.00,49
West Virginia,11/18/2023,Cincinnati,W 42-21,12,210,12.00,17.50,1,210.00,75
West Virginia,11/25/2023,@ Baylor,W 34-31,16,269,16.00,16.81,2,269.00,36
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,12,228,12.00,19.00,1,228.00,75
