TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
West Virginia,09/02/2023,@ Penn St.,L 15-38,2,2,15,2,,,,,,,,
West Virginia,09/09/2023,Duquesne,W 56-17,5,6,35,4,1,,,1/,,,,
West Virginia,09/16/2023,Pittsburgh,W 17-6,2,4,14,1,1,,,1/,,1,,
West Virginia,09/23/2023,Texas Tech,W 20-13,3,3,17,1,1,1,1,,,,,
West Virginia,09/30/2023,@ TCU,W 24-21,2,3,14,2,,,,,,1,,
West Virginia,10/12/2023,@ Houston,L 39-41,4,4,25,3,,1,1,,,,,
West Virginia,10/21/2023,Oklahoma St.,L 34-48,4,5,20,2,,2,2,,,1,,
West Virginia,10/28/2023,@ UCF,W 41-28,7,8,41,5,,2,2,,,,,1/
West Virginia,11/04/2023,BYU,W 37-7,6,6,30,2,1,3,3,,,,,
West Virginia,11/11/2023,@ Oklahoma,L 20-59,3,4,20,1,2,,,,,1,,
West Virginia,11/18/2023,Cincinnati,W 42-21,4,6,28,4,,,,,1,,,1/
West Virginia,11/25/2023,@ Baylor,W 34-31,3,3,13,1,,2,2,,,,,
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,4,4,16,1,,3,3,,,,,
