TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
West Virginia,09/02/2023,@ Penn St.,L 15-38,40,146,170,24,3.65,2,146.00,17
West Virginia,09/09/2023,Duquesne,W 56-17,49,304,315,11,6.20,4,304.00,39
West Virginia,09/16/2023,Pittsburgh,W 17-6,51,151,181,30,2.96,1,151.00,17
West Virginia,09/23/2023,Texas Tech,W 20-13,42,157,168,11,3.74,1,157.00,19
West Virginia,09/30/2023,@ TCU,W 24-21,43,201,208,7,4.67,3,201.00,35
West Virginia,10/12/2023,@ Houston,L 39-41,44,155,175,20,3.52,3,155.00,17
West Virginia,10/21/2023,Oklahoma St.,L 34-48,44,226,243,17,5.14,2,226.00,30
West Virginia,10/28/2023,@ UCF,W 41-28,50,286,302,16,5.72,5,286.00,32
West Virginia,11/04/2023,BYU,W 37-7,48,336,341,5,7.00,2,336.00,32
West Virginia,11/11/2023,@ Oklahoma,L 20-59,41,176,191,15,4.29,1,176.00,15
West Virginia,11/18/2023,Cincinnati,W 42-21,46,424/,434/,10,9.22,5,424.00,47
West Virginia,11/25/2023,@ Baylor,W 34-31,37,250,267,17,6.76,2,250.00,53
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,30,164,179,15,5.47,1,164.00,48
