TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
West Virginia,09/02/2023,@ Penn St.,L 15-38,1,,6,1.0
West Virginia,09/09/2023,Duquesne,W 56-17,1,4,19,3.0
West Virginia,09/16/2023,Pittsburgh,W 17-6,1,,9,1.0
West Virginia,09/23/2023,Texas Tech,W 20-13,2,,20,2.0
West Virginia,09/30/2023,@ TCU,W 24-21,3,4,23,5.0
West Virginia,10/12/2023,@ Houston,L 39-41,1,2,13,2.0
West Virginia,10/21/2023,Oklahoma St.,L 34-48,,,,
West Virginia,10/28/2023,@ UCF,W 41-28,1,,9,1.0
West Virginia,11/04/2023,BYU,W 37-7,2,2,22,3.0
West Virginia,11/11/2023,@ Oklahoma,L 20-59,2,,14,2.0
West Virginia,11/18/2023,Cincinnati,W 42-21,3,,22,3.0
West Virginia,11/25/2023,@ Baylor,W 34-31,3,,13,3.0
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,3,8/,47,7.0/
