TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
West Virginia,09/02/2023,@ Penn St.,L 15-38,2,1,1,,,1,1,1,,,,,15
West Virginia,09/09/2023,Duquesne,W 56-17,8,8,8,,,,,,,,,,56
West Virginia,09/16/2023,Pittsburgh,W 17-6,2,2,2,,,,,,,,1,,17
West Virginia,09/23/2023,Texas Tech,W 20-13,2,2,2,,,,,,,,2,,20
West Virginia,09/30/2023,@ TCU,W 24-21,3,3,3,,,,,,,,1,,24
West Virginia,10/12/2023,@ Houston,L 39-41,5,4,4,,,1,1,1,,,1,,39
West Virginia,10/21/2023,Oklahoma St.,L 34-48,4,4,4,,,,,,,,2,,34
West Virginia,10/28/2023,@ UCF,W 41-28,5,5,5,,,,,,,,2,,41
West Virginia,11/04/2023,BYU,W 37-7,4,4,4,,,,,,,,3,,37
West Virginia,11/11/2023,@ Oklahoma,L 20-59,3,2,2,,,,,1,,,,,20
West Virginia,11/18/2023,Cincinnati,W 42-21,6,6,6,,,,,,,,,,42
West Virginia,11/25/2023,@ Baylor,W 34-31,4,4,4,,,,,,,,2,,34
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,3,3,3,,,,,,,,3,,30
