TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
West Virginia,09/02/2023,@ Penn St.,L 15-38,40,22,2,4,11,62
West Virginia,09/09/2023,Duquesne,W 56-17,22,34,4,20/,39,56
West Virginia,09/16/2023,Pittsburgh,W 17-6,32,34,3,4,16,66
West Virginia,09/23/2023,Texas Tech,W 20-13,42,28,4,,24,70
West Virginia,09/30/2023,@ TCU,W 24-21,45,28,7,4,35,73
West Virginia,10/12/2023,@ Houston,L 39-41,32,22,5,2,21,54
West Virginia,10/21/2023,Oklahoma St.,L 34-48,40,24,5,2,18,64
West Virginia,10/28/2023,@ UCF,W 41-28,45,14,2,2,11,59
West Virginia,11/04/2023,BYU,W 37-7,36,20,6,4,40,56
West Virginia,11/11/2023,@ Oklahoma,L 20-59,35,44,2,6,19,79
West Virginia,11/18/2023,Cincinnati,W 42-21,31,28,4,,23,59
West Virginia,11/25/2023,@ Baylor,W 34-31,38,14,5,,18,52
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,36,46,6,10,61,82
