TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
West Virginia,09/02/2023,@ Penn St.,L 15-38,308,4.60,14,6,4,31:16,67,308,4.60,10,7,,5,5.00,55,55.00,
West Virginia,09/09/2023,Duquesne,W 56-17,619,7.64,13,5,6,31:39,81,619,7.64,17,12,1,4,4.00,30,30.00,
West Virginia,09/16/2023,Pittsburgh,W 17-6,211,3.40,12,3,4,33:13,62,211,3.40,9,3,2,4,4.00,52,52.00,
West Virginia,09/23/2023,Texas Tech,W 20-13,256,4.00,13,1,3,34:50,64,256,4.00,7,4,5,3,3.00,20,20.00,
West Virginia,09/30/2023,@ TCU,W 24-21,343,5.36,13,3,4,33:27,64,343,5.36,10,7,4,2,2.00,10,10.00,
West Virginia,10/12/2023,@ Houston,L 39-41,546,6.66,19,1,13/,36:46,82,546,6.66,11,14,1,9,9.00,84,84.00,
West Virginia,10/21/2023,Oklahoma St.,L 34-48,475,6.42,15,2,8,32:36,74,475,6.42,13,9,2,5,5.00,55,55.00,
West Virginia,10/28/2023,@ UCF,W 41-28,450,6.08,15,2,7,36:06,74,450,6.08,16,7,2,4,4.00,35,35.00,
West Virginia,11/04/2023,BYU,W 37-7,567,7.46,10,4,3,35:27,76,567,7.46,15,10,5,10,10.00,71,71.00,
West Virginia,11/11/2023,@ Oklahoma,L 20-59,330,4.58,16,4,4,30:32,72,330,4.58,10,5,2,2,2.00,20,20.00,
West Virginia,11/18/2023,Cincinnati,W 42-21,634,9.75,11,2,6,34:49,65,634,9.75,23/,7,1,5,5.00,45,45.00,
West Virginia,11/25/2023,@ Baylor,W 34-31,519,8.37,10,1,3,28:55,62,519,8.37,11,10,2,5,5.00,55,55.00,
West Virginia,12/27/2023,"North Carolina @Charlotte, NC",W 30-10,392,7.40,13,2,4,25:21,53,392,7.40,7,7,2,9,9.00,71,71.00,
